web-scraper-order,web-scraper-start-url,name,skills
"1562460814-1961","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Fostering Innovation","Management"
"1562460814-1881","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Program Manager","Communication"
"1562460814-1885","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Marketing Specialist","Content Marketing"
"1562460814-1954","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Digital Marketer","Search Engine Optimization (SEO)"
"1562460814-1876","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Prepare for the PMI ACP Certification","Agile Project Management"
"1562460814-1950","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Inclusive Leader","Diversity & Inclusion"
"1562460814-1922","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Excel 2013 Microsoft Office Specialist","Data Visualization"
"1562460814-1914","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Getting Started with Microsoft Word","Microsoft Word"
"1562460814-1918","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an External Recruiter","Human Resources (HR)"
"1562460814-1928","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Business Operations Associate","Business Operations"
"1562460814-1900","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Getting Started with Microsoft Excel","Microsoft Excel"
"1562460814-1957","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Prepare for the Word 2013 Microsoft Office Specialist (MOS) Expert Exam","Word Processing"
"1562460814-1942","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Improve Your Microsoft Word Skills","Word Processing"
"1562460814-1940","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Healthcare Project Manager","Healthcare Management"
"1562460814-1952","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Marketing Manager","Brand Management"
"1562460814-1937","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Sales Manager","Sales"
"1562460814-1946","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Advance Your Skills as an Individual Contributor","Leadership Development"
"1562460814-1875","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Content Marketer","Web Content Writing"
"1562460814-1939","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a High Performer","Communication"
"1562460814-1938","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Improve Your Problem-Solving Skills","Critical Thinking"
"1562460814-1951","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Prepare for the Excel 2013 Microsoft Office Specialist (MOS) Expert Exam","Microsoft Excel"
"1562460814-1864","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Agile Project Manager","Agile Project Management"
"1562460814-1889","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Online Marketing Manager","Content Marketing"
"1562460814-1936","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Outlook 2013 Microsoft Office Specialist","Calendaring"
"1562460814-1890","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Instructional Developer","E-Learning"
"1562460814-1872","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Instructional Designer","Camtasia"
"1562460814-1941","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Becoming a Six Sigma Green Belt","Six Sigma"
"1562460814-1948","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Managing Change","Organizational Leadership"
"1562460814-1960","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Business Analyst","Business Strategy"
"1562460814-1909","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Working Smarter with Microsoft 365","Microsoft Excel"
"1562460814-1888","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Master Microsoft PowerPoint","Microsoft PowerPoint"
"1562460814-1920","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Transition from Military to Civilian Employment","Communication"
"1562460814-1947","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Finding and Retaining Talent","Compensation & Benefits"
"1562460814-1895","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Online Instructor","E-Learning"
"1562460814-1893","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Advance Your Skills as a Manager","Talent Management"
"1562460814-1867","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Master In-Demand Professional Soft Skills","Life Skills"
"1562460814-1923","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Successful Job Hunter","Job Search Strategies"
"1562460814-1931","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Getting Started with Microsoft OneNote","Note Taking"
"1562460814-1907","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a PowerPoint 2013 Microsoft Office Specialist","Microsoft PowerPoint"
"1562460814-1882","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Improve Your Teamwork Skills","Cross-team Collaboration"
"1562460814-1898","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Senior Manager","Talent Management"
"1562460814-1949","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Improve Your Coaching Skills as a Manager","Coaching"
"1562460814-1943","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Thought Leader","Communication"
"1562460814-1880","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become a Bookkeeper","Corporate Finance"
"1562460814-1919","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Master Microsoft Word","Word Processing"
"1562460814-1908","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Get Ahead in the On-Demand Gig Economy","Contractors"
"1562460814-1897","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Become an Accounts Payable Officer","Accounting"
"1562460814-1866","https://www.linkedin.com/learning/topics/business?entityType=LEARNING_PATH~CUSTOM_CONTENT&u=49112041","Master Microsoft Excel","Microsoft Excel"
